,Player,Nation,Pos,90s,Squad,Comp,Age,Goals,Offensive Rate,Defensive Rate,Passing Rate,Playmaking Rate,Physical Rate,Overall Rating
0,Brenden Aaronson,USA,MF,17.7,Leeds United,Premier League,22,1,21.217988181261653,25.788183386241233,60.95965370697522,39.73796583314497,60.75872287738243,49.040503965263
1,Yunis Abdelhamid,MAR,DF,22.0,Reims,Ligue 1,35,0,10.872088926525542,89.20727334660901,53.980802109869344,14.750679264740793,89.8776056995555,80.83077988508505
2,Himad Abdelli,FRA,MF,8.6,Angers,Ligue 1,23,0,10.467805360376312,24.77281323027455,30.966526703906084,7.375546777874488,59.30338766314166,22.135367303102573
3,Salis Abdul Samed,GHA,MF,20.0,Lens,Ligue 1,22,1,18.398029611218305,51.7576717611914,59.74921631357664,15.573776752280983,82.17468082083343,40.033592449400665
4,Laurent Abergel,FRA,MF,12.9,Lorient,Ligue 1,30,0,1.7341132012184763,41.177986182345386,37.82805446548985,6.882731191849077,71.6260377128707,25.713241023647985
5,Zakaria Aboukhlal,MAR,FW,16.7,Toulouse,Ligue 1,22,5,44.56020168039661,24.526588071185603,37.54271458872591,27.286711140986913,54.91911421438286,48.27109307977553
6,Tammy Abraham,ENG,FW,17.6,Roma,Serie A,25,6,51.18778384319545,36.4398647674327,56.604467129824535,43.247767853260186,72.12074466220243,59.8634372225335
7,Francesco Acerbi,ITA,DF,12.3,Inter,Serie A,35,0,2.613528448047951,39.714742868834556,35.48524895708896,3.871824791416213,82.80535507685528,51.42989756703977
8,Marcos Acuña,ARG,DF,10.9,Sevilla,La Liga,31,2,19.62276930672045,36.867280264487746,40.547542246503205,13.925469000326416,68.45099153591654,48.87380253069416
9,Che Adams,SCO,FW,17.5,Southampton,Premier League,26,4,38.108889690360144,31.24407098053374,52.386203185801286,26.14334406306169,66.059576244893,46.69879367665405
10,Tyler Adams,USA,MF,19.0,Leeds United,Premier League,23,0,0.9063007228173581,71.37546710282516,62.528945218672185,12.835463793136489,86.79002599156263,39.87438484937319
11,Sargis Adamyan,ARM,FW,5.2,Köln,Bundesliga,29,1,20.500233737200546,9.755667976227105,17.102312814663577,8.802443614627403,33.59906225262347,22.625158509447594
12,Tosin Adarabioyo,ENG,DF,12.2,Fulham,Premier League,25,1,18.578894979515624,51.83463203959195,27.45274440012747,1.6066755937169317,93.60684781757712,61.33839112172096
13,Karim Adeyemi,GER,FW,8.5,Dortmund,Bundesliga,21,2,24.702149017271797,27.21225238893284,27.008689662409886,21.144380437104857,73.69232955122091,33.888023032116244
14,Amine Adli,FRA,FW,7.2,Leverkusen,Bundesliga,22,1,16.812635183136525,16.727246166103388,24.757685747477595,13.88666417560318,52.84501562131619,23.941907789254053
15,Michel Aebischer,SUI,FW,8.6,Bologna,Serie A,26,1,12.342361869193907,14.356224353055294,26.457898472146297,12.181185349775749,45.78250485450032,19.670630296979475
16,Emmanuel Agbadou,CIV,DF,17.8,Reims,Ligue 1,25,0,11.921400384730326,67.44316585046019,47.94488219709297,11.862410985551742,82.9771823351384,67.59309638667035
17,Álvaro Aguado,ESP,MF,12.6,Valladolid,La Liga,26,0,10.279006251808806,27.306917486228986,45.392359569459515,19.64617623268805,62.5207649403412,33.09888492842108
18,Kevin Agudelo,COL,MF,16.0,Spezia,Serie A,24,0,18.016696510303834,34.82847830565862,44.28345632729137,21.227014944572883,58.83103439276943,35.07435109597761
19,Nayef Aguerd,MAR,DF,5.7,West Ham,Premier League,26,0,2.1751217347616594,22.12995441324285,13.334456183522015,0.32955800862726353,86.5183591450667,41.66108631357902
20,Ruben Aguilar,FRA,DF,6.8,Monaco,Ligue 1,29,0,16.412799005557197,17.218932953598408,15.976985906052759,5.911245581304555,48.37174516878985,28.882532140414494
21,Jean-Eudes Aholou,CIV,MF,9.3,Strasbourg,Ligue 1,28,1,14.771248517977966,27.61996468919301,23.629397942656556,5.911604750049199,55.17165862064177,19.963086768395918
22,Joseph Aidoo,GHA,DF,20.0,Celta Vigo,La Liga,27,2,17.570827576619934,62.01652504878354,48.11900737069671,1.9272398165337046,81.4378793106948,64.10875527966951
23,Ola Aina,NGA,DF,7.5,Torino,Serie A,26,1,15.065716785898994,25.151344468951205,23.55358672180488,20.073093357259488,67.18493108977613,41.310608278586024
24,Rayan Aït Nouri,FRA,DF,10.1,Wolves,Premier League,21,1,19.364893887342763,29.473243624490607,29.07812601893971,17.76855979622432,59.06339883874065,41.361229607624715
25,Emanuel Aiwum,AUT,DF,11.4,Cremonese,Serie A,22,0,9.970595830252877,51.714099373709246,27.199275507876848,3.2223449732443536,81.83368177481884,56.41026267321518
26,Kristoffer Ajer,NOR,DF,8.5,Brentford,Premier League,24,0,0.44230944367162933,25.3890682105619,18.832789034810183,1.2832205111753585,83.24503893749026,42.56956722526175
27,Ludovic Ajorque,FRA,FW,8.6,Strasbourg,Ligue 1,28,1,19.88510092373834,20.42366023342275,26.010830171575332,10.41571249532726,69.1057050202117,28.04742338677611
28,Manuel Akanji,SUI,DF,14.3,Manchester City,Premier League,27,0,10.729242221763577,32.20165455388182,40.572106114246054,5.7875011690507145,72.75661193090711,46.26907500008972
